productName,price,rating,moisturizing,soothing,visiblepores,skinconcern_total,sensitive,uva3,uva4,mineral,nowhitecast,synthetic,formula_total,spf30,spf50,link
d'Alba White Truffle Repair Sun Serum 35mL,USD 42.00,4,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518536
Dr.G Brightening Up Moisture Sun 50mL,USD 35.00,4.3,0,0,0,0,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230217722
Dr.G Brightening Up Sun+ Special Set (50mL + 20mL),USD 35.00,4.7,0,0,0,0,1,1,0,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230217717
Dr.G Green Mild Up Sun Stick 20g,USD 26.00,4.3,0,1,0,1,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA210610742
Dr.G Green Mild Up Sun+ Special Set (50mL + 20mL),USD 32.00,4.7,0,1,0,1,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230217716
espoir Water Splash Sun Cream Ceramide 60mL + 20mL Special Set,USD 24.00,4.7,0,0,0,0,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230117432
espoir Water Splash Sun Cream Fresh CICA 60mL SPF50+ PA++++,USD 29.00,4.4,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418125
FRUDIA Ultra UV Shield Sun Essence 50g,USD 18.00,5,1,0,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230820025
FRUDIA What's Wrong? Help Cicaderm Sun Cream 50g,USD 21.00,,0,1,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230820024
goodal Heartleaf Calming Moisture Sun Cream 50mL 1+1 Special Set,USD 27.00,,1,1,0,2,1,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220615121
goodal Heartleaf Calming Tone Up Sun Cream 50mL 1+1 Special Set,USD 29.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121908
